Song-Name,Singer/Artists,Genre,Album/Movie,emotion,videoId,channelTitle
Mubarakan Title Song,"Badshah, Juggy D, Sukriti Kakar, Yash Narvekar",BollywoodDance,Mubarakan,joy,JGwWNGJdvx8,https://store.playstation.com/store/api/chihiro/00_09_000/container/IN/en/99/EP2402-CUSA05624_00-AV00000000000068/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=720&h=720
Nachdi Phira,Meghna Mishra,BollywoodSad,Secret Superstar,sadness,JGwWNGJdvx8,https://store.playstation.com/store/api/chihiro/00_09_000/container/IN/en/99/EP2402-CUSA05624_00-AV00000000000068/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=720&h=720
Maula Mere Maula,Roop Kumar Rathod,BollywoodRomantic,Anwar,love,JGwWNGJdvx8,https://store.playstation.com/store/api/chihiro/00_09_000/container/IN/en/99/EP2402-CUSA05624_00-AV00000000000068/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=720&h=720
Raah Mein Unse Mulaqat,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Vijaypath,love,JGwWNGJdvx8,https://store.playstation.com/store/api/chihiro/00_09_000/container/IN/en/99/EP2402-CUSA05624_00-AV00000000000068/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=720&h=720
Resham Ka Rumaal,"Sonia Sharma, Toshi Sabri",BollywoodDance,Great Grand Masti,joy,JGwWNGJdvx8,https://store.playstation.com/store/api/chihiro/00_09_000/container/IN/en/99/EP2402-CUSA05624_00-AV00000000000068/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=720&h=720
Twist Kamariya,"Altamash Faridi, Harshdeep Kaur, Tanishk Baagchi, Yasser Desai",BollywoodDance,Bareilly Ki Bafi,joy,JGwWNGJdvx8,https://store.playstation.com/store/api/chihiro/00_09_000/container/IN/en/99/EP2402-CUSA05624_00-AV00000000000068/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=720&h=720
Ram Chahe Leela,Bhoomi Trivedi,BollywoodDance,Ramleela,joy,JGwWNGJdvx8,https://store.playstation.com/store/api/chihiro/00_09_000/container/IN/en/99/EP2402-CUSA05624_00-AV00000000000068/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=720&h=720
Ram Chahe Leela,Bhoomi Trivedi,BollywoodDance,Goliyon Ki Rasleela Ram-leela,joy,JGwWNGJdvx8,https://store.playstation.com/store/api/chihiro/00_09_000/container/IN/en/99/EP2402-CUSA05624_00-AV00000000000068/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=720&h=720
Kukkad Kamaal Da,"Marianne, Nisha Mascarenhas, Shahid Mallya",BollywoodDance,Student of the Year,joy,JGwWNGJdvx8,https://store.playstation.com/store/api/chihiro/00_09_000/container/IN/en/99/EP2402-CUSA05624_00-AV00000000000068/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=720&h=720
Likhne Wale Ne Likh Dale,"Lata Mangeshkar, Suresh Wadkar",BollywoodDance,Arpan,joy,ub2zgoLJxUU,https://i.ytimg.com/vi/ub2zgoLJxUU/hqdefault.jpg
Duniya Bananewale,Mukesh,BollywoodSad,Teesri Kasam,sadness,MKkCp0lxuRI,https://i.ytimg.com/vi/MKkCp0lxuRI/hqdefault.jpg
Bum Bum Bole,Shaan,BollywoodDance,Taare Zameen Par,joy,NJ1NIIdHhXs,https://i.ytimg.com/vi/NJ1NIIdHhXs/hqdefault.jpg
Hans Mat Pagli,"Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Toilet Ek Prem Katha,love,6613uDk6XYI,https://i.ytimg.com/vi/6613uDk6XYI/hqdefault.jpg
Butterfly,"Aaman Trikha, Dev Negi, Jyoti Nooran, Sultana Nooran, Sunidhi Chauhan",BollywoodDance,Jab Harry Met Sejal,joy,b1c6i0VT7ak,https://i.ytimg.com/vi/b1c6i0VT7ak/hqdefault.jpg
Nayak Nahi Khalnayak Hoon Main,"Kavita Krishnamurthy, Vinod Rathod",BollywoodDance,Khal Nayak,joy,EYl8yxt85ik,https://i.ytimg.com/vi/EYl8yxt85ik/hqdefault.jpg
Saree Ke Fall Sa,"Antara Mitra, Nakash Aziz",BollywoodDance,R... Rajkumar,joy,EkxOXF9J77w,https://i.ytimg.com/vi/EkxOXF9J77w/hqdefault.jpg
Galla Goriyan – Aaja Soniye,"Kanika Kapoor, Mika Singh",BollywoodDance,Baa Baa Black Sheep,joy,bbvQ6MO7XXg,https://i.ytimg.com/vi/bbvQ6MO7XXg/hqdefault.jpg
Mubarakan Title Song,"Badshah, Juggy D, Sukriti Kakar, Yash Narvekar",BollywoodDance,Mubarakan,joy,4SbMnZJ5OK8,https://i.ytimg.com/vi/4SbMnZJ5OK8/hqdefault.jpg
Nachdi Phira,Meghna Mishra,BollywoodSad,Secret Superstar,sadness,rZ4JfD-YdZY,https://i.ytimg.com/vi/rZ4JfD-YdZY/hqdefault.jpg
